preload_amp,ankle,knee,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_swing,left_air_return,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
0.17,-0.09,-0.004,0.01,459,y_position_limit,0.022432107599166674,0.009094871635518753,35,6,29,28,413,459,0.0,0.0,0.9605512732785803,0.1390349938980938,0.9778670701543797,-0.03989557904167974,-0.304977984367843,-0.0731322571503879,-0.6210839890023991
0.17,-0.06,-0.004,0.01,483,y_position_limit,0.043862291524677674,0.009373082412964522,45,0,45,40,436,483,0.0,0.0,0.95038911449288,0.138466894890511,1.00022070502651,-0.018567629845291627,-0.30451275479334133,-0.03618866532334062,-0.6045897503124834
0.17,0.045,-0.004,0.01,482,y_position_limit,0.042146617332388,0.009298422588314925,39,1,38,35,416,482,0.0,0.0,0.9524805001689327,0.12965757030956374,0.9849250117660617,0.011406844018738272,-0.30122446202891034,0.020506636005962524,-0.5945139489179934
0.17,0.06,-0.004,0.01,467,y_position_limit,0.028492337870151173,0.009197265687993839,31,1,30,29,412,467,0.0,0.0,0.9580011213473986,0.1286610674379155,1.0010241585813089,0.025673592347554428,-0.30320015323068483,0.05896007569828242,-0.6183769590228085
0.17,-0.09,0.0,0.012,463,y_position_limit,0.024935800747983954,0.009099173142373865,36,2,34,28,424,463,0.0,0.0,0.9601952654941363,0.14471215089266157,0.9818115666727603,-0.035443274953083456,-0.3022829876462095,-0.06169848522637107,-0.6130230195120998
0.17,-0.06,0.0,0.012,483,y_position_limit,0.044118755852705305,0.00939589957862496,42,0,42,39,440,483,0.0,0.0,0.9498681061455764,0.1357351250707185,1.0056339856665313,-0.016831152669235537,-0.3057077043769747,-0.03710424056060093,-0.6086417076428509
0.17,0.045,0.0,0.012,480,y_position_limit,0.04036983298245456,0.009300487876648021,42,2,40,34,403,480,0.0,0.0,0.9529641174696717,0.12586392848879308,0.9942037362817444,0.012120590296855348,-0.3026567512694737,0.024151648403400616,-0.6003708517931776
0.17,0.06,0.0,0.012,464,y_position_limit,0.02625772211514022,0.00918912712733947,30,0,30,28,431,464,10.084708155876795,0.03166408043232311,0.9585912438553059,0.13171215206619039,1.0007011051147499,0.029234315963823417,-0.3038324336709364,0.0697254311021499,-0.6248985510245721
0.17,-0.09,-0.004,0.012,459,y_position_limit,0.02227556796623864,0.0090686344379938,34,5,29,28,411,459,0.0,0.0,0.9611154706520559,0.14171430412712865,0.9710103067152837,-0.037638213657716864,-0.303695723791613,-0.07083382692298544,-0.6177205211683923
0.17,-0.06,-0.004,0.012,482,y_position_limit,0.04281723945042244,0.009357871820399932,43,0,43,40,433,482,3.651952872450301,0.012577140125284821,0.9510197892884171,0.13312108149259338,1.0011527561612792,-0.017772561185550123,-0.30426997736510863,-0.03762309477582769,-0.6046243767984434
